username,match,date,unixdate
sarahfelds,85,2012-11-10 18:15:35 -0500,1352589335
monks_and_bones,91,2012-11-10 18:15:40 -0500,1352589340
maebe_funke,94,2012-11-10 18:15:46 -0500,1352589346
lilly1440,94,2012-11-10 18:15:51 -0500,1352589351
Havens88,89,2012-11-10 18:15:57 -0500,1352589357
Havens88,89,2012-11-10 18:16:02 -0500,1352589362
aedyth,83,2012-11-10 18:16:07 -0500,1352589367
CoalMineSongs,92,2012-11-10 18:16:13 -0500,1352589373
in_translation,92,2012-11-10 18:16:19 -0500,1352589379
CallMeClare,90,2012-11-10 18:16:25 -0500,1352589385
thecon007,80,2012-11-10 18:16:30 -0500,1352589390
svf418,92,2012-11-10 18:16:36 -0500,1352589396
Oceanbound2013,88,2012-11-10 18:16:41 -0500,1352589401
jrs05001,90,2012-11-10 18:16:46 -0500,1352589406
daft_funk,91,2012-11-10 18:16:52 -0500,1352589412
ItalianRiceball,95,2012-11-10 18:16:57 -0500,1352589417
Alexandria_Eliz,86,2012-11-10 18:17:03 -0500,1352589423
Kayla3361,93,2012-11-10 18:17:08 -0500,1352589428
LMVH47,84,2012-11-10 18:17:14 -0500,1352589434
e1113,95,2012-11-10 18:17:19 -0500,1352589439
TN9457,92,2012-11-10 18:17:25 -0500,1352589445
amyella2,93,2012-11-10 18:17:30 -0500,1352589450
amyella2,93,2012-11-10 18:17:36 -0500,1352589456
kaderine07,95,2012-11-10 18:17:42 -0500,1352589462
xenomeliac,95,2012-11-10 18:17:47 -0500,1352589467
kyxcereal,96,2012-11-10 18:17:53 -0500,1352589473
cmyk_4324,90,2012-11-10 18:17:58 -0500,1352589478
noclue4aname,80,2012-11-10 18:18:04 -0500,1352589484
Amanda_LL,94,2012-11-10 18:18:09 -0500,1352589489
AnyJenny27,91,2012-11-10 18:18:14 -0500,1352589494
coffeeoreo86,92,2012-11-10 18:18:20 -0500,1352589500
easternlights2,92,2012-11-10 18:18:25 -0500,1352589505
zombie_pocalypse,95,2012-11-10 18:18:31 -0500,1352589511
catattackz,87,2012-11-10 18:18:36 -0500,1352589516
Emi_Blake,94,2012-11-10 18:18:42 -0500,1352589522
RunningBee,92,2012-11-10 18:18:47 -0500,1352589527
Cakepies,91,2012-11-10 18:18:53 -0500,1352589533
Katerin25W,77,2012-11-10 18:18:59 -0500,1352589539
stateofheart,88,2012-11-10 18:19:04 -0500,1352589544
ilikedejavous,76,2012-11-10 18:19:10 -0500,1352589550
ilikedejavous,76,2012-11-10 18:19:15 -0500,1352589555
virtueturnsvice,92,2012-11-10 18:19:20 -0500,1352589560
doctorspacesam,90,2012-11-10 18:19:26 -0500,1352589566
faitdecompli,93,2012-11-10 18:19:31 -0500,1352589571
foureyes26,85,2012-11-10 18:19:37 -0500,1352589577
grambling,86,2012-11-10 18:19:42 -0500,1352589582
RoxyBee40,82,2012-11-10 18:19:48 -0500,1352589588
AudreyL,91,2012-11-10 18:19:54 -0500,1352589594
_thaumatomane,77,2012-11-10 18:19:59 -0500,1352589599
theeamesera,85,2012-11-10 18:20:04 -0500,1352589604
sweetserenity04,83,2012-11-10 18:20:18 -0500,1352589618
aedyth,83,2012-11-10 18:20:23 -0500,1352589623
Fernix522,86,2012-11-10 18:20:29 -0500,1352589629
JasmFlo,89,2012-11-10 18:20:34 -0500,1352589634
petit-chou,95,2012-11-10 18:20:40 -0500,1352589640
glasssnails,89,2012-11-10 18:20:45 -0500,1352589645
Latlai,86,2012-11-10 18:20:51 -0500,1352589651
synaptic_self,90,2012-11-10 18:20:56 -0500,1352589656
cakesalad,89,2012-11-10 18:21:01 -0500,1352589661
KaterinaY,88,2012-11-10 18:21:07 -0500,1352589667
Bromobenzene,94,2012-11-10 18:21:12 -0500,1352589672
CeilidhCo,96,2012-11-10 18:21:18 -0500,1352589678
Sunnibon,92,2012-11-10 18:21:23 -0500,1352589683
spots128,93,2012-11-10 18:21:29 -0500,1352589689
ETBoston,90,2012-11-10 18:21:35 -0500,1352589695
Ashley648,77,2012-11-10 18:21:40 -0500,1352589700
Whisky_me_sour,88,2012-11-10 18:21:46 -0500,1352589706
emzz517,95,2012-11-10 18:21:51 -0500,1352589711
stopthatfrog,95,2012-11-10 18:21:57 -0500,1352589717
okfiddle,93,2012-11-10 18:22:02 -0500,1352589722
ashbots,87,2012-11-10 18:22:08 -0500,1352589728
chocobanana7228,91,2012-11-10 18:22:13 -0500,1352589733
trillviaplath,92,2012-11-10 18:22:19 -0500,1352589739
ceciestuntest,90,2012-11-10 18:22:24 -0500,1352589744
michelalala,94,2012-11-10 18:22:29 -0500,1352589749
derangedQ,87,2012-11-10 18:22:35 -0500,1352589755
bukoswkilovesme,85,2012-11-10 18:22:40 -0500,1352589760
aligrrr,90,2012-11-10 18:22:46 -0500,1352589766
ProudAlto,93,2012-11-10 18:22:52 -0500,1352589772
bess_intentions,92,2012-11-10 18:22:57 -0500,1352589777
noclue4aname,80,2012-11-10 18:23:03 -0500,1352589783
Amanda_LL,94,2012-11-10 18:23:08 -0500,1352589788
CindylovesBacon,86,2012-11-10 18:23:14 -0500,1352589794
3two1contact,92,2012-11-10 18:23:19 -0500,1352589799
sunnyday_today,88,2012-11-10 18:23:24 -0500,1352589804
Naywi,94,2012-11-10 18:23:30 -0500,1352589810
ajwyman,89,2012-11-10 18:23:35 -0500,1352589815
adarnsh,95,2012-11-10 18:23:41 -0500,1352589821
valern,78,2012-11-10 18:23:46 -0500,1352589826
stefanieliza,86,2012-11-10 18:23:52 -0500,1352589832
Katy_A,86,2012-11-10 18:23:57 -0500,1352589837
pareidolio,87,2012-11-10 18:24:03 -0500,1352589843
analiciavila,91,2012-11-10 18:24:09 -0500,1352589849
Sophie-Quentin,95,2012-11-10 18:24:14 -0500,1352589854
whateverocean,85,2012-11-10 18:24:20 -0500,1352589860
ReneeRuns,90,2012-11-10 18:24:25 -0500,1352589865
strange_loops,86,2012-11-10 18:24:31 -0500,1352589871
fitsandfevers,89,2012-11-10 18:24:36 -0500,1352589876
AnnieHavoc,92,2012-11-10 18:24:42 -0500,1352589882
HurricanElaine,94,2012-11-10 18:24:47 -0500,1352589887
Lils425,87,2012-11-10 18:24:53 -0500,1352589893
ab01,90,2012-11-10 18:24:58 -0500,1352589898
abbybarton,78,2012-11-10 18:25:04 -0500,1352589904
spacehardware,91,2012-11-10 18:25:09 -0500,1352589909
tqzzz2,94,2012-11-10 18:25:15 -0500,1352589915
sweetlainy,75,2012-11-10 18:25:20 -0500,1352589920
Amiguera,81,2012-11-10 18:25:26 -0500,1352589926
Icebox9,91,2012-11-10 18:25:31 -0500,1352589931
jdrex87,99,2012-11-10 18:25:37 -0500,1352589937
gingercarrots,86,2012-11-10 18:25:42 -0500,1352589942
papagena71,94,2012-11-10 18:25:48 -0500,1352589948
amsboston,90,2012-11-10 18:25:53 -0500,1352589953
klc6,94,2012-11-10 18:25:58 -0500,1352589958
allierosie,90,2012-11-10 18:26:04 -0500,1352589964
Mbernst,94,2012-11-10 18:26:09 -0500,1352589969
